benchmark,solver,score
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node47513.smt2,vampire-4.4-smtcomp-wrapped-sq,0.15435
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node47513.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0674089
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node34026.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.021191
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node34026.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node34026.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node34026.smt2,vampire-4.4-smtcomp-wrapped-sq,0.404103
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node34026.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0418969
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0205659
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,vampire-4.4-smtcomp-wrapped-sq,0.172229
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0439551
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,vampire-4.4-smtcomp-wrapped-sq,0.103609
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.036546
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0197969
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,vampire-4.4-smtcomp-wrapped-sq,0.291654
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.038726
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.020631
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,vampire-4.4-smtcomp-wrapped-sq,0.115136
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0448539
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.021079
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,vampire-4.4-smtcomp-wrapped-sq,0.168197
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0565181
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.132213
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,vampire-4.4-smtcomp-wrapped-sq,1.92752
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0898569
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,1.35061
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,vampire-4.4-smtcomp-wrapped-sq,0.107222
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0442671
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.152365
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,vampire-4.4-smtcomp-wrapped-sq,39.0442
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.092968
