benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,39.4532
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,MathSAT5,115.704
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc15.smt2,CVC4-sq-final,241.421
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc15.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc15.smt2,Bitwuzla,2.64341
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,32.3213
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc15.smt2,MathSAT5,99.8047
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc20.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc20.smt2,Bitwuzla,8.17379
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,180.147
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc20.smt2,MathSAT5,574.842
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,Bitwuzla,14.8398
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc10.smt2,CVC4-sq-final,18.6128
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc10.smt2,z3-4.8.8,20.7129
